,gp0_Var_0_Bajo,gp0_Var_1_Bajo,gp0_Var_2_Bajo,gp0_Var_6_Bajo,gp0_Var_7_Bajo,gp3_Var_8_Bajo,gp_Var_9_Bajo,gp_Var_9_Medio,gp_Var_14_Medio,gp_Var_14_Bajo,gp_Var_15_Medio,gp_Var_15_Bajo,gpT_Var_13T_Alto,gpT_Var_13T_Medio,gpT_Var_10T_Medio,gpT_Var_10T_Bajo
4559,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
5936,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
2284,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0
4162,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1
8929,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1
5783,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1
4150,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
8203,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1
5726,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0
6466,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0
5403,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
7588,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1
6149,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
7108,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
6187,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0
1074,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
2154,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
1752,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
8659,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
2543,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
7769,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1
5761,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0
8986,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1
4310,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
5716,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
7315,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0
3462,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
4416,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
7086,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
2344,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
2899,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1
4497,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1
8592,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
1194,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
482,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
908,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
7167,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1
2764,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
1305,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0
7836,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
5963,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0
2319,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1
7115,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
589,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1
6251,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0
4036,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0
3749,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0
364,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1
1223,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0
389,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
6831,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
7868,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0
1243,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0
3505,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
960,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
443,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
3790,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
7951,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
4369,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
5242,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
4990,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7336,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
1195,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
